name,latitude,longitude,Unnamed: 3,geometry
As Is NYC,40.7647168,-73.9915618,,"{'location': {'lat': 40.7647168, 'lng': -73.9915618}, 'viewport': {'northeast': {'lat': 40.76610258029149, 'lng': -73.9902871697085}, 'southwest': {'lat': 40.7634046197085, 'lng': -73.9929851302915}}}"
The Waylon,40.7647761,-73.99143389999999,,"{'location': {'lat': 40.7647761, 'lng': -73.99143389999999}, 'viewport': {'northeast': {'lat': 40.7661758802915, 'lng': -73.9901941697085}, 'southwest': {'lat': 40.7634779197085, 'lng': -73.99289213029151}}}"
Fusion Bar and Grill Peruvian/Mexican,40.76347190000001,-73.9923194,,"{'location': {'lat': 40.76347190000001, 'lng': -73.9923194}, 'viewport': {'northeast': {'lat': 40.7648839802915, 'lng': -73.9910977697085}, 'southwest': {'lat': 40.7621860197085, 'lng': -73.99379573029151}}}"
On the Rocks,40.7637752,-73.9922313,,"{'location': {'lat': 40.7637752, 'lng': -73.9922313}, 'viewport': {'northeast': {'lat': 40.7651583802915, 'lng': -73.99096236970851}, 'southwest': {'lat': 40.7624604197085, 'lng': -73.99366033029152}}}"
Pocket Bar NYC,40.7633732,-73.992283,,"{'location': {'lat': 40.7633732, 'lng': -73.992283}, 'viewport': {'northeast': {'lat': 40.76466188029151, 'lng': -73.99096586970849}, 'southwest': {'lat': 40.76196391970851, 'lng': -73.99366383029151}}}"
Back Pocket Bar,40.7638553,-73.99196119999999,,"{'location': {'lat': 40.7638553, 'lng': -73.99196119999999}, 'viewport': {'northeast': {'lat': 40.7652386802915, 'lng': -73.99056546970849}, 'southwest': {'lat': 40.7625407197085, 'lng': -73.99326343029149}}}"
American Retro Bar and Grill,40.7650666,-73.98812219999999,,"{'location': {'lat': 40.7650666, 'lng': -73.98812219999999}, 'viewport': {'northeast': {'lat': 40.76635668029149, 'lng': -73.98665831970848}, 'southwest': {'lat': 40.76365871970849, 'lng': -73.9893562802915}}}"
Arriba Arriba,40.7641359,-73.9882109,,"{'location': {'lat': 40.7641359, 'lng': -73.9882109}, 'viewport': {'northeast': {'lat': 40.7654566302915, 'lng': -73.9869295697085}, 'southwest': {'lat': 40.7627586697085, 'lng': -73.9896275302915}}}"
Flaming Saddles Saloon,40.76525540000001,-73.987884,,"{'location': {'lat': 40.76525540000001, 'lng': -73.987884}, 'viewport': {'northeast': {'lat': 40.76657983029151, 'lng': -73.9864435697085}, 'southwest': {'lat': 40.76388186970851, 'lng': -73.9891415302915}}}"
Medi Wine Bar,40.7658333,-73.9875,,"{'location': {'lat': 40.7658333, 'lng': -73.9875}, 'viewport': {'northeast': {'lat': 40.7671932802915, 'lng': -73.9860251697085}, 'southwest': {'lat': 40.7644953197085, 'lng': -73.9887231302915}}}"
